danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.719,0.553,9,-10.646,1,0.0349,0.186,0.677,0.0659,0.573,94.093,audio_features,0ZYdUkAQmKHsaKRmq8tWSE,spotify:track:0ZYdUkAQmKHsaKRmq8tWSE,https://api.spotify.com/v1/tracks/0ZYdUkAQmKHsaKRmq8tWSE,https://api.spotify.com/v1/audio-analysis/0ZYdUkAQmKHsaKRmq8tWSE,248187,4
0.459,0.685,2,-6.511,1,0.323,0.0417,0.0,0.0712,0.477,67.991,audio_features,00dN56qVyliIkSUscx6Elv,spotify:track:00dN56qVyliIkSUscx6Elv,https://api.spotify.com/v1/tracks/00dN56qVyliIkSUscx6Elv,https://api.spotify.com/v1/audio-analysis/00dN56qVyliIkSUscx6Elv,212880,4
0.748,0.252,9,-11.686,0,0.037,0.868,0.0,0.0901,0.351,121.01,audio_features,3eUcXGBXGgcEXmbiEfI75H,spotify:track:3eUcXGBXGgcEXmbiEfI75H,https://api.spotify.com/v1/tracks/3eUcXGBXGgcEXmbiEfI75H,https://api.spotify.com/v1/audio-analysis/3eUcXGBXGgcEXmbiEfI75H,168653,4
0.61,0.76,10,-6.001,1,0.0466,0.193,0.0,0.152,0.362,160.081,audio_features,6OZ7NLbaDuyk7UNsfEXhSb,spotify:track:6OZ7NLbaDuyk7UNsfEXhSb,https://api.spotify.com/v1/tracks/6OZ7NLbaDuyk7UNsfEXhSb,https://api.spotify.com/v1/audio-analysis/6OZ7NLbaDuyk7UNsfEXhSb,251187,4
0.321,0.664,9,-5.902,0,0.0326,0.447,0.0,0.138,0.57,139.235,audio_features,7zmVAVcT1oho7iWJGpApkE,spotify:track:7zmVAVcT1oho7iWJGpApkE,https://api.spotify.com/v1/tracks/7zmVAVcT1oho7iWJGpApkE,https://api.spotify.com/v1/audio-analysis/7zmVAVcT1oho7iWJGpApkE,256280,4
0.293,0.777,4,-7.902,0,0.0361,0.699,0.00073,0.291,0.559,171.321,audio_features,4oIOXVdUUHaxLyeosHWABU,spotify:track:4oIOXVdUUHaxLyeosHWABU,https://api.spotify.com/v1/tracks/4oIOXVdUUHaxLyeosHWABU,https://api.spotify.com/v1/audio-analysis/4oIOXVdUUHaxLyeosHWABU,245840,3
0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,audio_features,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200,4
0.786,0.434,1,-10.178,1,0.0633,0.074,0.648,0.094,0.859,93.007,audio_features,67rUPnTsWfa89kyFYm9kS8,spotify:track:67rUPnTsWfa89kyFYm9kS8,https://api.spotify.com/v1/tracks/67rUPnTsWfa89kyFYm9kS8,https://api.spotify.com/v1/audio-analysis/67rUPnTsWfa89kyFYm9kS8,287213,4
0.291,0.809,1,-8.367,1,0.0412,0.034,0.000503,0.338,0.187,131.004,audio_features,7FVrFUzYRvYWyZETBC55EK,spotify:track:7FVrFUzYRvYWyZETBC55EK,https://api.spotify.com/v1/tracks/7FVrFUzYRvYWyZETBC55EK,https://api.spotify.com/v1/audio-analysis/7FVrFUzYRvYWyZETBC55EK,222075,4
0.622,0.281,2,-11.237,1,0.0299,0.92,0.00336,0.117,0.172,118.016,audio_features,1pLYwtGQtbKkVRzNavdXq0,spotify:track:1pLYwtGQtbKkVRzNavdXq0,https://api.spotify.com/v1/tracks/1pLYwtGQtbKkVRzNavdXq0,https://api.spotify.com/v1/audio-analysis/1pLYwtGQtbKkVRzNavdXq0,223227,4
